Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2010-02-06,Stoke,Blackburn,3,0,H,2,0,H,15,9,11,4,13,20,12,7,2,3,0,1
2010-02-06,Sunderland,Wigan,1,1,D,0,1,A,11,14,8,6,12,14,2,3,4,5,0,0
2010-02-06,Tottenham,Aston Villa,0,0,D,0,0,D,28,10,15,5,10,13,12,4,0,0,0,0
2010-02-07,Birmingham,Wolves,2,1,H,0,1,A,15,12,10,5,12,18,11,4,5,3,0,0
2010-02-07,Chelsea,Arsenal,2,0,H,2,0,H,9,14,3,6,11,14,4,8,2,2,0,0
2010-02-09,Fulham,Burnley,3,0,H,2,0,H,16,10,12,3,9,9,6,2,1,0,0,0
2010-02-09,Man City,Bolton,2,0,H,1,0,H,8,11,4,5,8,18,6,3,0,2,0,0
2010-02-09,Portsmouth,Sunderland,1,1,D,0,1,A,12,7,6,2,10,15,8,4,3,1,1,2
2010-02-09,Wigan,Stoke,1,1,D,1,0,H,16,10,11,6,12,7,9,5,2,3,0,0
2010-02-10,Arsenal,Liverpool,1,0,H,0,0,D,11,9,6,7,19,13,3,6,3,2,0,0
2010-02-10,Aston Villa,Man United,1,1,D,1,1,D,10,12,6,6,9,10,1,7,0,1,0,1
2010-02-10,Blackburn,Hull,1,0,H,1,0,H,20,7,10,4,14,13,6,6,1,3,0,1
2010-02-10,Everton,Chelsea,2,1,H,1,1,D,7,14,5,5,13,15,5,6,1,2,0,0
2010-02-10,West Ham,Birmingham,2,0,H,1,0,H,13,9,10,4,12,9,3,6,1,2,0,0
